# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
1.000000e+00	1.132614e+00	1.320916e+00	1.097932e+00	1.170106e+00
2.000000e+00	1.280542e+00	1.772196e+00	1.276890e+00	1.370558e+00
3.000000e+00	1.299111e+00	1.988555e+00	1.388692e+00	1.416738e+00
4.000000e+00	1.191931e+00	1.973764e+00	1.382021e+00	1.316901e+00
5.000000e+00	9.783109e-01	1.764162e+00	1.318626e+00	1.098170e+00
6.000000e+00	6.877267e-01	1.415152e+00	1.184434e+00	7.976795e-01
7.000000e+00	3.537157e-01	9.879222e-01	9.594600e-01	4.542502e-01
8.000000e+00	1.683761e-01	6.623290e-01	8.837225e-01	2.383775e-01
9.000000e+00	2.638439e-01	4.921147e-01	7.754371e-01	3.399198e-01
1.000000e+01	3.147472e-01	3.934795e-01	6.524371e-01	3.884676e-01
1.100000e+01	3.371366e-01	4.071385e-01	6.783384e-01	4.035277e-01
1.200000e+01	3.184417e-01	3.864248e-01	6.674898e-01	3.722422e-01
1.300000e+01	2.795972e-01	3.289807e-01	6.013021e-01	3.197769e-01
1.400000e+01	2.264641e-01	2.713627e-01	5.772800e-01	2.532481e-01
1.500000e+01	1.672561e-01	2.709813e-01	5.570554e-01	1.826038e-01
1.600000e+01	1.504858e-01	2.487825e-01	5.007426e-01	1.777222e-01
1.700000e+01	1.582876e-01	2.107165e-01	4.319893e-01	1.834155e-01
1.800000e+01	1.536286e-01	1.891316e-01	4.039237e-01	1.749292e-01
1.900000e+01	1.391264e-01	1.908404e-01	4.216134e-01	1.562352e-01
2.000000e+01	1.189072e-01	1.814739e-01	4.325377e-01	1.320294e-01
2.100000e+01	9.927324e-02	1.624589e-01	4.138393e-01	1.117857e-01
2.200000e+01	9.374917e-02	3.063112e-01	3.702864e-01	1.238911e-01
2.300000e+01	1.743705e-01	4.535187e-01	3.094407e-01	2.377102e-01
2.400000e+01	2.443611e-01	5.525558e-01	2.785617e-01	3.119782e-01
2.500000e+01	2.783799e-01	6.025155e-01	2.404027e-01	3.469145e-01
2.600000e+01	2.792243e-01	6.067288e-01	2.415992e-01	3.458379e-01
2.700000e+01	2.515838e-01	5.712783e-01	2.352200e-01	3.141282e-01
2.800000e+01	2.013889e-01	5.039017e-01	2.185875e-01	2.583913e-01
2.900000e+01	1.352113e-01	4.131443e-01	1.943759e-01	1.857563e-01
3.000000e+01	5.979571e-02	3.080634e-01	1.916762e-01	1.034563e-01
3.100000e+01	4.733867e-02	1.975180e-01	1.873487e-01	5.303272e-02
3.200000e+01	4.529396e-02	8.971152e-02	1.769035e-01	4.982880e-02
3.300000e+01	4.200002e-02	7.902002e-02	1.626507e-01	4.535676e-02
3.400000e+01	3.778321e-02	8.065233e-02	1.552695e-01	4.010518e-02
3.500000e+01	3.281169e-02	7.969352e-02	1.524013e-01	3.434312e-02
3.600000e+01	2.875799e-02	7.614909e-02	1.461394e-01	2.969428e-02
3.700000e+01	2.768603e-02	7.044265e-02	1.378117e-01	2.911574e-02
3.800000e+01	2.764955e-02	6.314309e-02	1.282916e-01	2.914213e-02
3.900000e+01	2.748417e-02	6.431104e-02	1.262504e-01	2.884149e-02
4.000000e+01	2.691865e-02	6.498340e-02	1.224326e-01	2.806021e-02
4.100000e+01	2.581336e-02	6.368106e-02	1.175487e-01	2.678037e-02
4.200000e+01	2.436915e-02	6.073189e-02	1.118729e-01	2.519096e-02
4.300000e+01	2.352291e-02	5.602718e-02	1.062175e-01	2.415452e-02
4.400000e+01	2.381659e-02	5.129890e-02	1.040459e-01	2.436465e-02
4.500000e+01	2.372080e-02	7.376296e-02	1.010475e-01	2.416619e-02
4.600000e+01	2.314805e-02	1.060142e-01	9.756883e-02	2.347987e-02
4.700000e+01	2.224397e-02	1.282329e-01	9.359591e-02	3.214618e-02
4.800000e+01	2.094887e-02	1.400819e-01	8.906576e-02	4.090764e-02
