# x/c	-C_p
1.007968	-0.815649
1.006843	-0.802035
1.005317	-0.790239
1.003402	-0.780521
1.001107	-0.772135
0.998443	-0.764672
0.995417	-0.757845
0.992036	-0.751572
0.988309	-0.745760
0.984241	-0.740307
0.979841	-0.735160
0.975115	-0.730290
0.970070	-0.725592
0.964713	-0.721088
0.959052	-0.716777
0.953092	-0.712620
0.946842	-0.708604
0.940308	-0.704666
0.933498	-0.700857
0.926418	-0.697194
0.919076	-0.693602
0.911480	-0.690090
0.903637	-0.686658
0.895553	-0.683267
0.887237	-0.679968
0.878696	-0.676720
0.869938	-0.673518
0.860969	-0.670403
0.851798	-0.667316
0.842432	-0.664265
0.832879	-0.661248
0.823146	-0.658274
0.813240	-0.655341
0.803169	-0.652400
0.792942	-0.649494
0.782564	-0.646609
0.772043	-0.643729
0.761388	-0.640875
0.750605	-0.638011
0.739702	-0.635143
0.728685	-0.632301
0.717563	-0.629461
0.706341	-0.626585
0.695028	-0.623701
0.683631	-0.620827
0.672156	-0.617928
0.660610	-0.614994
0.649000	-0.612036
0.637333	-0.609063
0.625616	-0.606084
0.613855	-0.603081
0.602056	-0.600013
0.590227	-0.596907
0.578373	-0.593781
0.566501	-0.590615
0.554617	-0.587416
0.542727	-0.584167
0.530838	-0.580879
0.518955	-0.577555
0.507084	-0.574222
0.495232	-0.570871
0.483403	-0.567406
0.471604	-0.563749
0.459840	-0.559900
0.448117	-0.555875
0.436440	-0.551800
0.424815	-0.547958
0.413247	-0.544645
0.401742	-0.542071
0.390304	-0.540149
0.378939	-0.538394
0.367653	-0.536014
0.356449	-0.532043
0.345334	-0.525688
0.334312	-0.516818
0.323388	-0.506263
0.312567	-0.495620
0.301854	-0.486611
0.291254	-0.480392
0.280771	-0.477234
0.270410	-0.476628
0.260176	-0.477723
0.250074	-0.479778
0.240108	-0.482321
0.230282	-0.485060
0.220602	-0.487840
0.211071	-0.490713
0.201694	-0.493727
0.192475	-0.496913
0.183420	-0.500326
0.174531	-0.503955
0.165814	-0.507835
0.157273	-0.512007
0.148911	-0.516434
0.140734	-0.521104
0.132745	-0.526055
0.124948	-0.531282
0.117347	-0.536799
0.109947	-0.542656
0.102751	-0.548831
0.095763	-0.555373
0.088988	-0.562332
0.082428	-0.569683
0.076089	-0.577483
0.069973	-0.585745
0.064084	-0.594582
0.058427	-0.604113
0.053005	-0.614333
0.047821	-0.625299
0.042880	-0.637173
0.038184	-0.650103
0.033738	-0.664169
0.029546	-0.679586
0.025611	-0.696593
0.021936	-0.715399
0.018527	-0.736335
0.015388	-0.759592
0.012522	-0.785408
0.009935	-0.813906
0.007632	-0.844817
0.005620	-0.877579
0.003906	-0.910851
0.002497	-0.942318
0.001400	-0.968754
0.000618	-0.986572
0.000153	-0.992706
0.000000	-0.985487
0.000153	-0.964792
0.000618	-0.932036
0.001400	-0.890527
0.002497	-0.844533
0.003906	-0.798077
0.005620	-0.754099
0.007632	-0.714174
0.009935	-0.678890
0.012522	-0.648120
0.015388	-0.621531
0.018527	-0.598514
0.021936	-0.578456
0.025611	-0.560926
0.029546	-0.545425
0.033738	-0.531624
0.038184	-0.519205
0.042880	-0.507902
0.047821	-0.497606
0.053005	-0.488156
0.058427	-0.479375
0.064084	-0.471196
0.069973	-0.463636
0.076089	-0.456596
0.082428	-0.449959
0.088988	-0.443691
0.095763	-0.437723
0.102751	-0.432078
0.109947	-0.426713
0.117347	-0.421583
0.124948	-0.416708
0.132745	-0.412045
0.140734	-0.407576
0.148911	-0.403301
0.157273	-0.399176
0.165814	-0.395203
0.174531	-0.391416
0.183420	-0.387783
0.192475	-0.384276
0.201694	-0.380914
0.211071	-0.377678
0.220602	-0.374580
0.230282	-0.371611
0.240108	-0.368720
0.250074	-0.365954
0.260176	-0.363335
0.270410	-0.360821
0.280771	-0.358387
0.291254	-0.356060
0.301854	-0.353854
0.312567	-0.351749
0.323388	-0.349727
0.334312	-0.347796
0.345334	-0.345954
0.356449	-0.344187
0.367653	-0.342503
0.378939	-0.340921
0.390304	-0.339425
0.401742	-0.337988
0.413247	-0.336631
0.424815	-0.335368
0.436440	-0.334183
0.448117	-0.333066
0.459840	-0.331987
0.471604	-0.330967
0.483403	-0.330044
0.495232	-0.329201
0.507084	-0.328406
0.518955	-0.327577
0.530838	-0.326599
0.542727	-0.325617
0.554617	-0.325293
0.566501	-0.326288
0.578373	-0.327655
0.590227	-0.325372
0.602056	-0.315238
0.613855	-0.303994
0.625616	-0.326268
0.637333	-0.417765
0.649000	-0.549704
0.660610	-0.647470
0.672156	-0.679877
0.683631	-0.673171
0.695028	-0.659946
0.706341	-0.653936
0.717563	-0.654547
0.728685	-0.657176
0.739702	-0.659145
0.750605	-0.660186
0.761388	-0.660953
0.772043	-0.661957
0.782564	-0.663330
0.792942	-0.664936
0.803169	-0.666675
0.813240	-0.668521
0.823146	-0.670433
0.832879	-0.672468
0.842432	-0.674621
0.851798	-0.676878
0.860969	-0.679229
0.869938	-0.681661
0.878696	-0.684222
0.887237	-0.686867
0.895553	-0.689599
0.903637	-0.692451
0.911480	-0.695372
0.919076	-0.698397
0.926418	-0.701520
0.933498	-0.704730
0.940308	-0.708093
0.946842	-0.711591
0.953092	-0.715174
0.959052	-0.718902
0.964713	-0.722781
0.970070	-0.726845
0.975115	-0.731095
0.979841	-0.735506
0.984241	-0.740175
0.988309	-0.745122
0.992036	-0.750388
0.995417	-0.756065
0.998443	-0.762237
1.001107	-0.768936
1.003402	-0.776359
1.005317	-0.785056
1.006843	-0.795290
1.007968	-0.804318
