# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
1.000000e+00	1.174996e+00	1.362742e+00	1.100495e+00	1.213094e+00
2.000000e+00	1.359552e+00	1.868256e+00	1.285944e+00	1.454214e+00
3.000000e+00	1.392318e+00	2.111990e+00	1.401068e+00	1.517275e+00
4.000000e+00	1.281332e+00	2.100538e+00	1.405772e+00	1.414768e+00
5.000000e+00	1.049308e+00	1.873913e+00	1.343557e+00	1.177466e+00
6.000000e+00	7.306605e-01	1.493409e+00	1.208936e+00	8.477655e-01
7.000000e+00	3.634511e-01	1.025588e+00	9.862783e-01	4.692425e-01
8.000000e+00	2.008072e-01	7.857557e-01	8.955559e-01	2.838151e-01
9.000000e+00	3.128701e-01	5.848580e-01	8.176859e-01	4.032774e-01
1.000000e+01	3.739253e-01	4.651922e-01	7.404791e-01	4.614054e-01
1.100000e+01	4.015102e-01	4.811077e-01	6.917068e-01	4.805587e-01
1.200000e+01	3.799248e-01	4.574102e-01	6.797344e-01	4.437429e-01
1.300000e+01	3.341613e-01	3.905189e-01	6.147787e-01	3.816163e-01
1.400000e+01	2.714286e-01	3.208401e-01	5.916325e-01	3.029294e-01
1.500000e+01	2.010965e-01	3.206664e-01	5.696607e-01	2.186847e-01
1.600000e+01	1.791434e-01	2.946751e-01	5.132127e-01	2.116223e-01
1.700000e+01	1.884008e-01	2.503163e-01	6.055429e-01	2.179542e-01
1.800000e+01	1.832292e-01	2.237625e-01	6.465175e-01	2.081158e-01
1.900000e+01	1.660294e-01	2.258742e-01	6.404756e-01	1.858563e-01
2.000000e+01	1.419288e-01	2.148747e-01	5.930092e-01	1.570020e-01
2.100000e+01	1.181228e-01	1.925844e-01	5.133191e-01	1.330348e-01
2.200000e+01	1.118830e-01	3.682009e-01	4.112478e-01	1.390216e-01
2.300000e+01	1.832479e-01	5.185356e-01	3.101458e-01	2.594641e-01
2.400000e+01	2.572094e-01	6.168493e-01	2.859121e-01	3.368069e-01
2.500000e+01	2.919382e-01	6.626504e-01	2.464447e-01	3.713926e-01
2.600000e+01	2.906713e-01	6.598822e-01	2.467893e-01	3.670308e-01
2.700000e+01	2.586529e-01	6.154642e-01	2.410867e-01	3.297349e-01
2.800000e+01	2.025152e-01	5.380821e-01	2.243722e-01	2.668890e-01
2.900000e+01	1.294990e-01	4.368969e-01	1.998478e-01	1.863040e-01
3.000000e+01	5.738122e-02	3.219455e-01	1.966320e-01	9.599183e-02
3.100000e+01	5.679795e-02	2.027559e-01	1.921445e-01	6.327126e-02
3.200000e+01	5.452931e-02	9.792618e-02	1.816407e-01	5.964816e-02
3.300000e+01	5.065324e-02	9.359925e-02	1.666628e-01	5.447718e-02
3.400000e+01	4.554723e-02	9.554678e-02	1.593451e-01	4.818527e-02
3.500000e+01	3.962401e-02	9.442712e-02	1.568182e-01	4.123941e-02
3.600000e+01	3.429455e-02	9.023829e-02	1.503064e-01	3.529398e-02
3.700000e+01	3.312395e-02	8.344015e-02	1.413961e-01	3.470432e-02
3.800000e+01	3.304450e-02	7.477921e-02	1.316396e-01	3.470383e-02
3.900000e+01	3.285065e-02	7.620593e-02	1.301541e-01	3.438232e-02
4.000000e+01	3.215092e-02	7.701144e-02	1.262878e-01	3.343225e-02
4.100000e+01	3.089306e-02	7.547952e-02	1.336664e-01	3.200715e-02
4.200000e+01	2.918470e-02	7.194474e-02	1.330285e-01	3.011672e-02
4.300000e+01	2.807228e-02	6.635038e-02	1.240352e-01	2.877540e-02
4.400000e+01	2.841146e-02	6.078062e-02	1.083619e-01	2.900232e-02
4.500000e+01	2.831522e-02	9.170733e-02	1.041219e-01	2.877192e-02
4.600000e+01	2.767256e-02	1.246212e-01	1.004060e-01	2.801636e-02
4.700000e+01	2.658632e-02	1.466343e-01	9.617343e-02	3.120415e-02
4.800000e+01	2.503652e-02	1.575306e-01	9.217649e-02	4.001376e-02
4.900000e+01	2.448019e-02	1.579520e-01	9.015177e-02	4.052640e-02
5.000000e+01	2.458641e-02	1.492270e-01	8.772866e-02	3.397265e-02
5.100000e+01	2.434120e-02	1.331992e-01	8.498225e-02	2.417744e-02
5.200000e+01	2.376694e-02	1.119966e-01	8.181126e-02	2.350862e-02
5.300000e+01	2.283448e-02	8.786733e-02	7.850970e-02	2.253891e-02
5.400000e+01	2.161964e-02	6.298006e-02	7.694805e-02	2.127206e-02
5.500000e+01	2.129343e-02	4.600715e-02	7.501397e-02	2.081943e-02
5.600000e+01	2.122126e-02	4.230576e-02	7.273686e-02	2.071088e-02
5.700000e+01	2.094245e-02	4.363581e-02	7.024429e-02	2.040561e-02
5.800000e+01	2.044742e-02	4.406718e-02	6.781568e-02	1.989268e-02
5.900000e+01	1.974060e-02	4.348548e-02	6.644875e-02	1.916472e-02
6.000000e+01	1.888041e-02	4.204963e-02	6.485757e-02	1.828336e-02
6.100000e+01	1.841920e-02	3.967687e-02	6.302001e-02	1.770990e-02
6.200000e+01	1.830810e-02	3.671262e-02	6.091290e-02	1.758177e-02
6.300000e+01	1.809351e-02	3.671376e-02	5.887258e-02	1.734799e-02
6.400000e+01	1.776524e-02	3.732903e-02	5.773212e-02	1.699904e-02
6.500000e+01	1.729795e-02	3.715801e-02	5.642858e-02	1.654085e-02
6.600000e+01	1.667535e-02	3.629197e-02	5.495387e-02	1.593444e-02
6.700000e+01	1.603928e-02	3.477585e-02	5.328277e-02	1.518729e-02
6.800000e+01	1.593676e-02	3.270229e-02	5.164852e-02	1.508346e-02
6.900000e+01	1.577902e-02	3.677254e-02	5.054857e-02	1.492962e-02
7.000000e+01	1.554978e-02	3.868912e-02	4.936200e-02	1.470771e-02
7.100000e+01	1.523421e-02	3.853667e-02	4.819343e-02	1.439417e-02
7.200000e+01	1.484718e-02	3.654031e-02	4.687709e-02	1.399083e-02
7.300000e+01	1.433298e-02	3.303916e-02	4.550560e-02	1.350242e-02
7.400000e+01	1.396144e-02	2.912732e-02	4.458347e-02	1.302331e-02
7.500000e+01	1.386280e-02	2.724254e-02	4.353208e-02	1.293240e-02
7.600000e+01	1.372180e-02	2.701838e-02	4.248742e-02	1.280276e-02
7.700000e+01	1.352367e-02	2.746145e-02	4.146132e-02	1.261898e-02
7.800000e+01	1.325026e-02	2.747791e-02	4.028636e-02	1.236219e-02
7.900000e+01	1.292789e-02	2.704754e-02	3.949326e-02	1.202720e-02
8.000000e+01	1.251331e-02	2.620462e-02	3.863927e-02	1.164081e-02
8.100000e+01	1.223282e-02	2.484439e-02	3.765634e-02	1.126673e-02
8.200000e+01	1.215478e-02	2.325911e-02	3.685191e-02	1.120014e-02
8.300000e+01	1.204002e-02	2.358286e-02	3.592949e-02	1.109956e-02
8.400000e+01	1.187488e-02	2.385995e-02	3.511344e-02	1.095102e-02
8.500000e+01	1.165231e-02	2.382090e-02	3.444578e-02	1.074681e-02
8.600000e+01	1.140271e-02	2.342499e-02	3.364955e-02	1.048938e-02
8.700000e+01	1.106735e-02	2.269763e-02	3.290396e-02	1.018172e-02
8.800000e+01	1.080827e-02	2.153504e-02	3.218093e-02	9.845956e-03
8.900000e+01	1.074718e-02	2.029269e-02	3.134544e-02	9.797617e-03
9.000000e+01	1.065081e-02	2.064494e-02	3.082785e-02	9.716511e-03
9.100000e+01	1.051526e-02	2.084586e-02	3.019748e-02	9.598138e-03
9.200000e+01	1.035920e-02	2.080450e-02	2.949707e-02	9.434011e-03
9.300000e+01	1.016152e-02	2.048326e-02	2.893749e-02	9.254720e-03
9.400000e+01	9.889252e-03	1.988915e-02	2.821971e-02	9.007927e-03
9.500000e+01	9.620338e-03	1.893187e-02	2.767950e-02	8.699421e-03
9.600000e+01	9.566685e-03	1.787744e-02	2.719872e-02	8.640147e-03
9.700000e+01	9.482144e-03	1.814986e-02	2.656507e-02	8.571496e-03
9.800000e+01	9.394170e-03	1.830999e-02	2.611337e-02	8.471710e-03
9.900000e+01	9.282160e-03	1.828884e-02	2.552089e-02	8.375049e-03
1.000000e+02	9.120488e-03	1.805814e-02	2.498783e-02	8.232857e-03
1.010000e+02	8.909332e-03	1.759837e-02	2.457818e-02	8.035003e-03
1.020000e+02	8.671184e-03	1.683853e-02	2.407093e-02	7.815992e-03
1.030000e+02	8.553878e-03	1.594833e-02	2.364349e-02	7.662173e-03
1.040000e+02	8.513569e-03	1.601103e-02	2.316637e-02	7.607511e-03
1.050000e+02	8.453548e-03	1.614581e-02	2.268977e-02	7.560878e-03
1.060000e+02	8.356768e-03	1.616534e-02	2.227229e-02	7.480093e-03
1.070000e+02	8.234483e-03	1.602142e-02	2.187864e-02	7.361774e-03
1.080000e+02	8.095683e-03	1.568988e-02	2.146316e-02	7.236048e-03
1.090000e+02	7.900210e-03	1.512028e-02	2.109234e-02	7.063610e-03
1.100000e+02	7.718373e-03	1.439882e-02	2.065521e-02	6.851181e-03
1.110000e+02	7.685513e-03	1.419039e-02	2.028943e-02	6.817587e-03
1.120000e+02	7.623248e-03	1.431210e-02	1.994342e-02	6.769723e-03
1.130000e+02	7.568592e-03	1.435388e-02	1.953078e-02	6.707328e-03
1.140000e+02	7.488585e-03	1.427573e-02	1.925565e-02	6.641697e-03
1.150000e+02	7.369909e-03	1.406310e-02	1.884423e-02	6.540271e-03
1.160000e+02	7.237589e-03	1.368571e-02	1.856398e-02	6.413106e-03
1.170000e+02	7.066494e-03	1.309399e-02	1.821831e-02	6.263817e-03
1.180000e+02	6.946427e-03	1.262016e-02	1.786871e-02	6.112390e-03
1.190000e+02	6.929610e-03	1.272876e-02	1.762037e-02	6.094777e-03
1.200000e+02	6.881536e-03	1.278523e-02	1.722429e-02	6.059175e-03
1.210000e+02	6.815146e-03	1.276881e-02	1.702429e-02	5.995594e-03
1.220000e+02	6.749097e-03	1.264562e-02	1.667022e-02	5.937332e-03
1.230000e+02	6.644691e-03	1.240091e-02	1.642506e-02	5.849025e-03
1.240000e+02	6.518577e-03	1.198075e-02	1.615655e-02	5.730772e-03
1.250000e+02	6.369142e-03	1.145639e-02	1.584101e-02	5.601708e-03
1.260000e+02	6.294865e-03	1.135046e-02	1.564416e-02	5.504648e-03
1.270000e+02	6.278737e-03	1.141818e-02	1.529492e-02	5.480678e-03
1.280000e+02	6.239018e-03	1.143577e-02	1.512691e-02	5.451917e-03
1.290000e+02	6.173676e-03	1.138851e-02	1.483494e-02	5.397044e-03
1.300000e+02	6.118124e-03	1.124600e-02	1.460421e-02	5.342914e-03
1.310000e+02	6.026418e-03	1.099781e-02	1.439934e-02	5.266185e-03
1.320000e+02	5.914088e-03	1.058403e-02	1.411540e-02	5.162316e-03
1.330000e+02	5.782749e-03	1.016924e-02	1.395550e-02	5.049695e-03
1.340000e+02	5.734122e-03	1.023174e-02	1.366584e-02	4.979179e-03
1.350000e+02	5.718087e-03	1.026536e-02	1.349781e-02	4.957349e-03
1.360000e+02	5.683119e-03	1.026000e-02	1.326906e-02	4.932399e-03
1.370000e+02	5.626601e-03	1.019483e-02	1.305932e-02	4.882174e-03
1.380000e+02	5.576736e-03	1.005067e-02	1.289414e-02	4.837658e-03
1.390000e+02	5.494460e-03	9.806159e-03	1.261274e-02	4.769348e-03
1.400000e+02	5.399988e-03	9.430826e-03	1.249936e-02	4.682439e-03
1.410000e+02	5.284735e-03	9.196703e-03	1.227386e-02	4.584372e-03
1.420000e+02	5.239537e-03	9.237584e-03	1.210076e-02	4.520947e-03
1.430000e+02	5.230431e-03	9.253947e-03	1.192501e-02	4.506408e-03
1.440000e+02	5.197346e-03	9.235080e-03	1.170817e-02	4.482842e-03
1.450000e+02	5.154221e-03	9.166272e-03	1.159023e-02	4.440147e-03
1.460000e+02	5.107981e-03	9.030493e-03	1.137036e-02	4.404015e-03
1.470000e+02	5.033466e-03	8.801379e-03	1.122555e-02	4.342613e-03
1.480000e+02	4.958927e-03	8.472346e-03	1.106689e-02	4.273822e-03
1.490000e+02	4.856166e-03	8.331187e-03	1.088617e-02	4.186974e-03
