# x/c	-C_p
1.007968	-0.180465
1.006843	-0.180482
1.005317	-0.182053
1.003402	-0.182193
1.001107	-0.182260
0.998443	-0.182443
0.995417	-0.182691
0.992036	-0.183017
0.988309	-0.183392
0.984241	-0.183766
0.979841	-0.184148
0.975115	-0.184560
0.970070	-0.184972
0.964713	-0.185440
0.959052	-0.185944
0.953092	-0.186451
0.946842	-0.186976
0.940308	-0.187509
0.933498	-0.188094
0.926418	-0.188700
0.919076	-0.189270
0.911480	-0.189854
0.903637	-0.190467
0.895553	-0.191088
0.887237	-0.191748
0.878696	-0.192408
0.869938	-0.193074
0.860969	-0.193771
0.851798	-0.194452
0.842432	-0.195146
0.832879	-0.195857
0.823146	-0.196584
0.813240	-0.197318
0.803169	-0.198042
0.792942	-0.198802
0.782564	-0.199574
0.772043	-0.200350
0.761388	-0.201150
0.750605	-0.201953
0.739702	-0.202774
0.728685	-0.203626
0.717563	-0.204480
0.706341	-0.205331
0.695028	-0.206217
0.683631	-0.207137
0.672156	-0.208058
0.660610	-0.208997
0.649000	-0.209974
0.637333	-0.210985
0.625616	-0.212024
0.613855	-0.213081
0.602056	-0.214156
0.590227	-0.215290
0.578373	-0.216480
0.566501	-0.217695
0.554617	-0.218946
0.542727	-0.220231
0.530838	-0.221571
0.518955	-0.222965
0.507084	-0.224432
0.495232	-0.225965
0.483403	-0.227535
0.471604	-0.229154
0.459840	-0.230862
0.448117	-0.232626
0.436440	-0.234434
0.424815	-0.236323
0.413247	-0.238293
0.401742	-0.240358
0.390304	-0.242500
0.378939	-0.244707
0.367653	-0.247017
0.356449	-0.249440
0.345334	-0.251952
0.334312	-0.254549
0.323388	-0.257256
0.312567	-0.260070
0.301854	-0.262983
0.291254	-0.266015
0.280771	-0.269188
0.270410	-0.272481
0.260176	-0.275870
0.250074	-0.279392
0.240108	-0.283097
0.230282	-0.286950
0.220602	-0.290899
0.211071	-0.295026
0.201694	-0.299335
0.192475	-0.303809
0.183420	-0.308473
0.174531	-0.313304
0.165814	-0.318343
0.157273	-0.323630
0.148911	-0.329118
0.140734	-0.334810
0.132745	-0.340766
0.124948	-0.346984
0.117347	-0.353482
0.109947	-0.360314
0.102751	-0.367446
0.095763	-0.374943
0.088988	-0.382863
0.082428	-0.391168
0.076089	-0.399938
0.069973	-0.409190
0.064084	-0.419071
0.058427	-0.429702
0.053005	-0.441032
0.047821	-0.453105
0.042880	-0.466126
0.038184	-0.480293
0.033738	-0.495673
0.029546	-0.512513
0.025611	-0.531115
0.021936	-0.551750
0.018527	-0.574880
0.015388	-0.600791
0.012522	-0.629916
0.009935	-0.662650
0.007632	-0.698959
0.005620	-0.738538
0.003906	-0.780370
0.002497	-0.822416
0.001400	-0.861351
0.000618	-0.893151
0.000153	-0.913933
0.000000	-0.921111
0.000153	-0.913933
0.000618	-0.893151
0.001400	-0.861351
0.002497	-0.822416
0.003906	-0.780370
0.005620	-0.738538
0.007632	-0.698959
0.009935	-0.662650
0.012522	-0.629916
0.015388	-0.600791
0.018527	-0.574880
0.021936	-0.551750
0.025611	-0.531115
0.029546	-0.512513
0.033738	-0.495673
0.038184	-0.480293
0.042880	-0.466126
0.047821	-0.453105
0.053005	-0.441032
0.058427	-0.429702
0.064084	-0.419071
0.069973	-0.409190
0.076089	-0.399938
0.082428	-0.391168
0.088988	-0.382863
0.095763	-0.374943
0.102751	-0.367446
0.109947	-0.360314
0.117347	-0.353482
0.124948	-0.346984
0.132745	-0.340766
0.140734	-0.334810
0.148911	-0.329118
0.157273	-0.323630
0.165814	-0.318343
0.174531	-0.313304
0.183420	-0.308473
0.192475	-0.303809
0.201694	-0.299335
0.211071	-0.295026
0.220602	-0.290899
0.230282	-0.286950
0.240108	-0.283097
0.250074	-0.279392
0.260176	-0.275870
0.270410	-0.272481
0.280771	-0.269188
0.291254	-0.266015
0.301854	-0.262983
0.312567	-0.260070
0.323388	-0.257256
0.334312	-0.254549
0.345334	-0.251952
0.356449	-0.249440
0.367653	-0.247017
0.378939	-0.244707
0.390304	-0.242500
0.401742	-0.240358
0.413247	-0.238293
0.424815	-0.236323
0.436440	-0.234434
0.448117	-0.232626
0.459840	-0.230862
0.471604	-0.229154
0.483403	-0.227535
0.495232	-0.225965
0.507084	-0.224432
0.518955	-0.222965
0.530838	-0.221571
0.542727	-0.220231
0.554617	-0.218946
0.566501	-0.217695
0.578373	-0.216480
0.590227	-0.215290
0.602056	-0.214156
0.613855	-0.213081
0.625616	-0.212024
0.637333	-0.210985
0.649000	-0.209974
0.660610	-0.208997
0.672156	-0.208058
0.683631	-0.207137
0.695028	-0.206217
0.706341	-0.205331
0.717563	-0.204480
0.728685	-0.203626
0.739702	-0.202774
0.750605	-0.201953
0.761388	-0.201150
0.772043	-0.200350
0.782564	-0.199574
0.792942	-0.198802
0.803169	-0.198042
0.813240	-0.197318
0.823146	-0.196584
0.832879	-0.195857
0.842432	-0.195146
0.851798	-0.194452
0.860969	-0.193771
0.869938	-0.193074
0.878696	-0.192408
0.887237	-0.191748
0.895553	-0.191088
0.903637	-0.190467
0.911480	-0.189854
0.919076	-0.189270
0.926418	-0.188700
0.933498	-0.188094
0.940308	-0.187509
0.946842	-0.186976
0.953092	-0.186451
0.959052	-0.185944
0.964713	-0.185440
0.970070	-0.184972
0.975115	-0.184560
0.979841	-0.184148
0.984241	-0.183766
0.988309	-0.183392
0.992036	-0.183017
0.995417	-0.182691
0.998443	-0.182445
1.001107	-0.182258
1.003402	-0.182188
1.005317	-0.182045
1.006843	-0.180578
1.007968	-0.180326
