# x/c	-C_p
1.007968	-0.192402
1.006843	-0.193090
1.005317	-0.193965
1.003402	-0.194232
1.001107	-0.194345
0.998443	-0.194540
0.995417	-0.194784
0.992036	-0.195126
0.988309	-0.195522
0.984241	-0.195917
0.979841	-0.196320
0.975115	-0.196754
0.970070	-0.197187
0.964713	-0.197678
0.959052	-0.198208
0.953092	-0.198743
0.946842	-0.199294
0.940308	-0.199855
0.933498	-0.200473
0.926418	-0.201113
0.919076	-0.201718
0.911480	-0.202334
0.903637	-0.202981
0.895553	-0.203637
0.887237	-0.204335
0.878696	-0.205033
0.869938	-0.205737
0.860969	-0.206473
0.851798	-0.207193
0.842432	-0.207926
0.832879	-0.208675
0.823146	-0.209440
0.813240	-0.210213
0.803169	-0.210971
0.792942	-0.211767
0.782564	-0.212573
0.772043	-0.213381
0.761388	-0.214212
0.750605	-0.215045
0.739702	-0.215896
0.728685	-0.216779
0.717563	-0.217665
0.706341	-0.218546
0.695028	-0.219465
0.683631	-0.220420
0.672156	-0.221381
0.660610	-0.222360
0.649000	-0.223381
0.637333	-0.224442
0.625616	-0.225534
0.613855	-0.226647
0.602056	-0.227777
0.590227	-0.228971
0.578373	-0.230224
0.566501	-0.231505
0.554617	-0.232821
0.542727	-0.234170
0.530838	-0.235573
0.518955	-0.237031
0.507084	-0.238563
0.495232	-0.240165
0.483403	-0.241802
0.471604	-0.243490
0.459840	-0.245271
0.448117	-0.247113
0.436440	-0.249000
0.424815	-0.250973
0.413247	-0.253032
0.401742	-0.255192
0.390304	-0.257434
0.378939	-0.259744
0.367653	-0.262158
0.356449	-0.264690
0.345334	-0.267314
0.334312	-0.270024
0.323388	-0.272845
0.312567	-0.275776
0.301854	-0.278810
0.291254	-0.281969
0.280771	-0.285277
0.270410	-0.288717
0.260176	-0.292258
0.250074	-0.295939
0.240108	-0.299814
0.230282	-0.303847
0.220602	-0.307979
0.211071	-0.312292
0.201694	-0.316792
0.192475	-0.321461
0.183420	-0.326325
0.174531	-0.331359
0.165814	-0.336606
0.157273	-0.342109
0.148911	-0.347823
0.140734	-0.353748
0.132745	-0.359947
0.124948	-0.366418
0.117347	-0.373180
0.109947	-0.380288
0.102751	-0.387706
0.095763	-0.395498
0.088988	-0.403724
0.082428	-0.412347
0.076089	-0.421445
0.069973	-0.431031
0.064084	-0.441253
0.058427	-0.452244
0.053005	-0.463957
0.047821	-0.476426
0.042880	-0.489847
0.038184	-0.504415
0.033738	-0.520197
0.029546	-0.537426
0.025611	-0.556390
0.021936	-0.577332
0.018527	-0.600684
0.015388	-0.626685
0.012522	-0.655696
0.009935	-0.688010
0.007632	-0.723480
0.005620	-0.761679
0.003906	-0.801430
0.002497	-0.840540
0.001400	-0.875641
0.000618	-0.902785
0.000153	-0.918345
0.000000	-0.920087
0.000153	-0.907504
0.000618	-0.881588
0.001400	-0.845288
0.002497	-0.802731
0.003906	-0.757996
0.005620	-0.714312
0.007632	-0.673562
0.009935	-0.636631
0.012522	-0.603672
0.015388	-0.574596
0.018527	-0.548913
0.021936	-0.526117
0.025611	-0.505884
0.029546	-0.487719
0.033738	-0.471333
0.038184	-0.456405
0.042880	-0.442684
0.047821	-0.430099
0.053005	-0.418456
0.058427	-0.407542
0.064084	-0.397303
0.069973	-0.387790
0.076089	-0.378892
0.082428	-0.370467
0.088988	-0.362495
0.095763	-0.354895
0.102751	-0.347704
0.109947	-0.340868
0.117347	-0.334323
0.124948	-0.328101
0.132745	-0.322150
0.140734	-0.316452
0.148911	-0.311011
0.157273	-0.305766
0.165814	-0.300712
0.174531	-0.295893
0.183420	-0.291274
0.192475	-0.286813
0.201694	-0.282531
0.211071	-0.278404
0.220602	-0.274448
0.230282	-0.270664
0.240108	-0.266973
0.250074	-0.263424
0.260176	-0.260052
0.270410	-0.256813
0.280771	-0.253671
0.291254	-0.250647
0.301854	-0.247759
0.312567	-0.244985
0.323388	-0.242305
0.334312	-0.239726
0.345334	-0.237247
0.356449	-0.234848
0.367653	-0.232529
0.378939	-0.230316
0.390304	-0.228201
0.401742	-0.226148
0.413247	-0.224171
0.424815	-0.222285
0.436440	-0.220478
0.448117	-0.218752
0.459840	-0.217071
0.471604	-0.215445
0.483403	-0.213904
0.495232	-0.212413
0.507084	-0.210955
0.518955	-0.209561
0.530838	-0.208234
0.542727	-0.206959
0.554617	-0.205736
0.566501	-0.204544
0.578373	-0.203385
0.590227	-0.202249
0.602056	-0.201162
0.613855	-0.200130
0.625616	-0.199115
0.637333	-0.198117
0.649000	-0.197146
0.660610	-0.196208
0.672156	-0.195307
0.683631	-0.194424
0.695028	-0.193545
0.706341	-0.192699
0.717563	-0.191888
0.728685	-0.191076
0.739702	-0.190268
0.750605	-0.189489
0.761388	-0.188730
0.772043	-0.187973
0.782564	-0.187239
0.792942	-0.186510
0.803169	-0.185790
0.813240	-0.185106
0.823146	-0.184410
0.832879	-0.183722
0.842432	-0.183047
0.851798	-0.182388
0.860969	-0.181740
0.869938	-0.181077
0.878696	-0.180442
0.887237	-0.179813
0.895553	-0.179183
0.903637	-0.178590
0.911480	-0.178005
0.919076	-0.177447
0.926418	-0.176903
0.933498	-0.176327
0.940308	-0.175770
0.946842	-0.175260
0.953092	-0.174759
0.959052	-0.174275
0.964713	-0.173794
0.970070	-0.173347
0.975115	-0.172954
0.979841	-0.172561
0.984241	-0.172198
0.988309	-0.171842
0.992036	-0.171488
0.995417	-0.171181
0.998443	-0.170943
1.001107	-0.170732
1.003402	-0.170668
1.005317	-0.170742
1.006843	-0.169348
1.007968	-0.167823
