# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
1.000000e+00	1.207156e+00	1.285198e+00	1.021430e+00	1.250363e+00
2.000000e+00	1.553394e+00	1.782608e+00	1.021384e+00	1.669277e+00
3.000000e+00	1.764191e+00	2.090697e+00	9.970020e-01	1.911973e+00
4.000000e+00	1.817053e+00	2.172774e+00	9.696612e-01	1.953284e+00
5.000000e+00	1.704186e+00	2.030813e+00	9.402776e-01	1.799468e+00
6.000000e+00	1.439226e+00	1.703071e+00	8.913707e-01	1.486967e+00
7.000000e+00	1.101723e+00	1.289946e+00	8.184659e-01	1.109727e+00
8.000000e+00	7.423158e-01	8.601173e-01	7.003021e-01	7.271611e-01
9.000000e+00	4.010825e-01	5.252885e-01	6.512802e-01	3.787881e-01
1.000000e+01	2.192153e-01	4.631580e-01	6.256871e-01	2.406931e-01
1.100000e+01	2.311803e-01	4.060334e-01	5.940569e-01	3.496487e-01
1.200000e+01	3.217466e-01	3.534626e-01	5.402824e-01	4.444809e-01
1.300000e+01	3.762149e-01	2.882098e-01	4.628223e-01	4.971332e-01
1.400000e+01	3.481447e-01	2.326994e-01	4.982297e-01	4.456812e-01
1.500000e+01	3.074062e-01	2.048242e-01	5.087078e-01	3.811011e-01
1.600000e+01	2.661354e-01	1.891677e-01	4.809406e-01	3.203662e-01
1.700000e+01	2.261164e-01	1.691671e-01	4.312739e-01	2.643121e-01
1.800000e+01	1.862827e-01	1.476045e-01	3.965775e-01	2.112897e-01
1.900000e+01	1.409888e-01	1.256017e-01	3.517237e-01	1.548729e-01
2.000000e+01	1.507411e-01	1.047997e-01	3.078730e-01	1.794215e-01
2.100000e+01	1.694712e-01	9.319370e-02	3.145376e-01	1.984482e-01
2.200000e+01	1.716831e-01	8.810782e-02	2.980487e-01	2.002498e-01
2.300000e+01	1.625070e-01	9.158953e-02	2.654009e-01	1.893687e-01
2.400000e+01	1.472547e-01	9.086818e-02	2.188414e-01	1.724596e-01
2.500000e+01	1.210621e-01	8.816796e-02	2.387657e-01	1.428860e-01
2.600000e+01	1.090695e-01	1.481278e-01	2.470220e-01	1.291832e-01
2.700000e+01	1.828665e-01	3.062056e-01	2.431969e-01	2.750039e-01
2.800000e+01	2.970041e-01	4.331887e-01	2.291090e-01	3.906566e-01
2.900000e+01	3.842511e-01	5.266244e-01	2.063243e-01	4.744400e-01
3.000000e+01	4.432652e-01	5.848477e-01	1.763950e-01	5.256080e-01
3.100000e+01	4.731743e-01	6.067587e-01	1.536487e-01	5.439421e-01
3.200000e+01	4.744169e-01	5.931716e-01	1.518815e-01	5.307817e-01
3.300000e+01	4.494089e-01	5.475481e-01	1.455166e-01	4.896824e-01
3.400000e+01	4.020852e-01	4.753830e-01	1.377023e-01	4.257464e-01
3.500000e+01	3.374339e-01	3.834182e-01	1.308026e-01	3.449629e-01
3.600000e+01	2.611857e-01	2.790693e-01	1.253305e-01	2.537787e-01
3.700000e+01	1.791810e-01	1.696104e-01	1.208480e-01	1.584482e-01
3.800000e+01	9.652217e-02	6.909011e-02	1.163616e-01	6.420337e-02
3.900000e+01	4.873260e-02	5.070555e-02	1.122526e-01	5.327985e-02
4.000000e+01	4.325780e-02	5.174419e-02	1.076369e-01	4.660260e-02
4.100000e+01	3.696942e-02	5.364741e-02	1.029682e-01	3.958654e-02
4.200000e+01	3.720498e-02	5.333404e-02	9.950931e-02	3.982301e-02
4.300000e+01	3.794088e-02	4.815398e-02	9.753545e-02	4.011382e-02
4.400000e+01	3.666356e-02	4.304369e-02	9.590245e-02	4.249210e-02
4.500000e+01	3.813263e-02	3.782994e-02	9.384395e-02	4.323775e-02
4.600000e+01	3.753530e-02	3.802826e-02	9.181831e-02	4.176625e-02
4.700000e+01	3.517523e-02	3.671482e-02	8.912148e-02	3.845141e-02
4.800000e+01	3.178457e-02	3.397469e-02	8.659237e-02	3.438376e-02
4.900000e+01	2.919530e-02	3.243893e-02	8.381375e-02	3.068564e-02
5.000000e+01	2.866262e-02	3.291053e-02	8.074130e-02	3.025261e-02
5.100000e+01	2.835335e-02	3.340060e-02	7.802058e-02	2.950692e-02
5.200000e+01	2.758963e-02	3.378232e-02	7.645031e-02	2.864606e-02
5.300000e+01	2.729392e-02	3.440753e-02	7.512159e-02	2.820585e-02
5.400000e+01	4.555073e-02	4.748263e-02	7.342216e-02	4.868204e-02
5.500000e+01	7.100646e-02	8.251452e-02	7.150507e-02	7.872533e-02
5.600000e+01	9.009428e-02	1.085823e-01	6.984903e-02	1.008514e-01
5.700000e+01	1.024213e-01	1.252454e-01	6.781146e-02	1.147115e-01
5.800000e+01	1.080005e-01	1.326252e-01	6.588238e-02	1.204509e-01
5.900000e+01	1.072189e-01	1.313569e-01	6.413104e-02	1.186620e-01
6.000000e+01	1.007782e-01	1.224881e-01	6.218781e-02	1.102929e-01
6.100000e+01	8.959601e-02	1.073326e-01	6.063141e-02	9.651448e-02
6.200000e+01	7.473519e-02	8.736959e-02	5.924743e-02	7.863184e-02
6.300000e+01	5.733809e-02	6.415429e-02	5.812518e-02	5.800739e-02
6.400000e+01	3.856880e-02	3.924607e-02	5.684845e-02	3.599925e-02
6.500000e+01	2.085356e-02	2.181486e-02	5.545934e-02	2.036502e-02
6.600000e+01	2.021070e-02	2.214937e-02	5.423530e-02	1.986582e-02
6.700000e+01	2.006217e-02	2.250688e-02	5.305883e-02	1.938487e-02
6.800000e+01	1.963523e-02	2.308251e-02	5.179337e-02	1.910717e-02
6.900000e+01	1.958198e-02	2.368800e-02	5.042248e-02	1.882477e-02
7.000000e+01	1.921753e-02	2.421656e-02	4.940047e-02	1.864921e-02
7.100000e+01	1.943735e-02	2.466297e-02	4.827960e-02	1.880564e-02
7.200000e+01	1.915441e-02	2.505975e-02	4.714313e-02	1.872372e-02
7.300000e+01	1.945692e-02	2.578185e-02	4.611217e-02	1.911293e-02
7.400000e+01	1.973906e-02	2.525778e-02	4.514642e-02	1.954897e-02
7.500000e+01	1.982008e-02	2.324325e-02	4.436744e-02	1.975238e-02
7.600000e+01	1.930154e-02	2.136123e-02	4.337421e-02	1.923315e-02
7.700000e+01	1.807348e-02	1.946481e-02	4.243468e-02	1.804912e-02
7.800000e+01	1.629445e-02	1.757211e-02	4.173714e-02	1.628792e-02
7.900000e+01	1.511574e-02	1.576980e-02	4.096036e-02	1.427338e-02
8.000000e+01	1.456005e-02	1.497531e-02	4.017184e-02	1.379675e-02
8.100000e+01	1.445625e-02	1.502231e-02	3.939020e-02	1.346113e-02
